,Movie Name,Year of Release,Runtime,Genre,Movie Rating,Metascore of Movie,Votes,Gross,Description
194,Howl's Moving Castle,2004,119 ,"Animation, Adventure, Family",8.2,82,412356,$4.71M,"When an unconfident young woman is cursed with an old body by a spiteful witch, her only chance of breaking the spell lies with a self-indulgent yet insecure young wizard and his companions in his legged, walking castle."
195,Die Hard,1988,132 ,"Action, Thriller",8.2,72,901719,$83.01M,A New York City police officer tries to save his estranged wife and several others taken hostage by terrorists during a Christmas party at the Nakatomi Plaza in Los Angeles.
196,Star Wars: Episode VII - The Force Awakens,2015,138 ,"Action, Adventure, Sci-Fi",7.8,80,947753,$936.66M,"As a new threat to the galaxy rises, Rey, a desert scavenger, and Finn, an ex-stormtrooper, must join Han Solo and Chewbacca to search for the one hope of restoring peace."
197,Hell or High Water,2016,102 ,"Crime, Drama, Thriller",7.6,88,239172,$26.86M,"Toby is a divorced father who's trying to make a better life. His brother is an ex-con with a short temper and a loose trigger finger. Together, they plan a series of heists against the bank that's about to foreclose on their family ranch."
198,The Martian,2015,144 ,"Adventure, Drama, Sci-Fi",8.0,80,879821,$228.43M,"An astronaut becomes stranded on Mars after his team assume him dead, and must rely on his ingenuity to find a way to signal to Earth that he is alive and can survive until a potential rescue."
199,Wind River,2017,107 ,"Crime, Drama, Mystery",7.7,73,262937,$33.80M,"A wildlife officer, who is haunted by a tragedy that happened because of him, teams up with an FBI agent in solving a murder of a young woman on a Wyoming Native American reservation and hopes to get redemption from his past regrets."
200,Unforgiven,1992,130 ,"Drama, Western",8.2,85,421125,$101.16M,"Retired Old West gunslinger William Munny reluctantly takes on one last job, with the help of his old partner Ned Logan and a young man, The ""Schofield Kid."""
201,The Lord of the Rings: The Two Towers,2002,179 ,"Action, Adventure, Drama",8.8,87,1704279,$342.55M,"While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard."
202,Your Name.,2016,106 ,"Animation, Drama, Fantasy",8.4,79,287323,$5.02M,"Two teenagers share a profound, magical connection upon discovering they are swapping bodies. Things manage to become even more complicated when the boy and girl decide to meet in person."
203,Pan's Labyrinth,2006,118 ,"Drama, Fantasy, War",8.2,98,681239,$37.63M,"In the Falangist Spain of 1944, the bookish young stepdaughter of a sadistic army officer escapes into an eerie but captivating fantasy world."
204,Bohemian Rhapsody,2018,134 ,"Biography, Drama, Music",7.9,49,556432,$216.43M,"The story of the legendary British rock band Queen and lead singer Freddie Mercury, leading up to their famous performance at Live Aid (1985)."
205,Moonrise Kingdom,2012,94 ,"Comedy, Drama, Family",7.8,84,357299,$45.51M,"A pair of young lovers flee their New England town, which causes a local search party to fan out to find them."
206,Logan,2017,137 ,"Action, Drama, Sci-Fi",8.1,77,788114,$226.28M,"In a future where mutants are nearly extinct, an elderly and weary Logan leads a quiet life. But when Laura, a mutant child pursued by scientists, comes to him for help, he must get her to safety."
207,The Sixth Sense,1999,107 ,"Drama, Mystery, Thriller",8.2,64,1011536,$293.51M,"Malcolm Crowe, a child psychologist, starts treating a young boy, Cole, who encounters dead people and convinces him to help them. In turn, Cole helps Malcolm reconcile with his estranged wife."
208,Star Wars: Episode V - The Empire Strikes Back,1980,124 ,"Action, Adventure, Fantasy",8.7,82,1321959,$290.48M,"After the Rebels are overpowered by the Empire, Luke Skywalker begins his Jedi training with Yoda, while his friends are pursued across the galaxy by Darth Vader and bounty hunter Boba Fett."
209,The Curious Case of Benjamin Button,2008,166 ,"Drama, Fantasy, Romance",7.8,70,668567,$127.51M,"Tells the story of Benjamin Button, a man who starts aging backwards with consequences."
210,Thor: Ragnarok,2017,130 ,"Action, Adventure, Comedy",7.9,74,776859,$315.06M,"Imprisoned on the planet Sakaar, Thor must race against time to return to Asgard and stop Ragnarök, the destruction of his world, at the hands of the powerful and ruthless villain Hela."
211,About Time,2013,123 ,"Comedy, Drama, Fantasy",7.8,55,364716,$15.32M,"At the age of 21, Tim discovers he can travel in time and change what happens and has happened in his own life. His decision to make his world a better place by getting a girlfriend turns out not to be as easy as you might think."
212,Shrek,2001,90 ,"Animation, Adventure, Comedy",7.9,84,700213,$267.67M,"A mean lord exiles fairytale creatures to the swamp of a grumpy ogre, who must go on a quest and rescue a princess for the lord in order to get his land back."
213,Psycho,1960,109 ,"Horror, Mystery, Thriller",8.5,97,688120,$32.00M,"A Phoenix secretary embezzles $40,000 from her employer's client, goes on the run and checks into a remote motel run by a young man under the domination of his mother."
214,The Incredibles,2004,115 ,"Animation, Action, Adventure",8.0,90,762188,$261.44M,"While trying to lead a quiet suburban life, a family of undercover superheroes are forced into action to save the world."
215,Sin City,2005,124 ,"Crime, Thriller",8.0,74,779423,$74.10M,"An exploration of the dark and miserable Basin City and three of its residents, all of whom are caught up in violent corruption."
216,The Hobbit: An Unexpected Journey,2012,169 ,"Adventure, Fantasy",7.8,58,844313,$303.00M,"A reluctant Hobbit, Bilbo Baggins, sets out to the Lonely Mountain with a spirited group of dwarves to reclaim their mountain home, and the gold within it from the dragon Smaug."
217,The Count of Monte Cristo,2002,131 ,"Action, Adventure, Drama",7.7,61,142758,$54.23M,"A young man, falsely imprisoned by his jealous ""friend"", escapes and uses a hidden treasure to exact his revenge."
218,Casino Royale,2006,144 ,"Action, Adventure, Thriller",8.0,80,671234,$167.45M,"After earning 00 status and a licence to kill, secret agent James Bond sets out on his first mission as 007. Bond must defeat a private banker funding terrorists in a high-stakes game of poker at Casino Royale, Montenegro."
219,Star Trek,2009,127 ,"Action, Adventure, Sci-Fi",7.9,82,610490,$257.73M,The brash James T. Kirk tries to live up to his father's legacy with Mr. Spock keeping him in check as a vengeful Romulan from the future creates black holes to destroy the Federation one planet at a time.
220,Deliverance,1972,109 ,"Adventure, Drama, Thriller",7.7,80,114349,$7.06M,"Intent on seeing the Cahulawassee River before it's dammed and turned into a lake, outdoor fanatic Lewis Medlock takes his friends on a canoeing trip they'll never forget into the dangerous American back-country."
221,Coco,2017,105 ,"Animation, Adventure, Comedy",8.4,81,535030,$209.73M,"Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer."
222,Trainspotting,1996,93 ,Drama,8.1,83,701419,$16.50M,"Renton, deeply immersed in the Edinburgh drug scene, tries to clean up and get out, despite the allure of the drugs and influence of friends."
223,The Intouchables,2011,112 ,"Biography, Comedy, Drama",8.5,57,882126,$13.18M,"After he becomes a quadriplegic from a paragliding accident, an aristocrat hires a young man from the projects to be his caregiver."
224,Watchmen,2009,162 ,"Action, Drama, Mystery",7.6,56,563036,$107.51M,"In 1985 where former superheroes exist, the murder of a colleague sends active vigilante Rorschach into his own sprawling investigation, uncovering something that could completely change the course of history as we know it."
225,Boogie Nights,1997,155 ,Drama,7.9,85,272838,$26.40M,"Back when sex was safe, pleasure was a business and business was booming, an idealistic porn producer aspires to elevate his craft to an art when he discovers a hot young talent."
226,True Romance,1993,119 ,"Crime, Drama, Romance",7.9,59,233376,$12.28M,"In Detroit, a lonely pop culture geek marries a call girl, steals cocaine from her pimp, and tries to sell it in Hollywood. Meanwhile, the owners of the cocaine, the Mob, track them down in an attempt to reclaim it."
227,The Color Purple,1985,154 ,Drama,7.7,78,90654,$98.47M,A black Southern woman struggles to find her identity after suffering abuse from her father and others over four decades.
228,Airplane!,1980,88 ,Comedy,7.7,78,248790,$83.40M,"After the crew becomes sick with food poisoning, a neurotic ex-fighter pilot must land a commercial airplane full of passengers safely."
229,Edge of Tomorrow,2014,113 ,"Action, Adventure, Sci-Fi",7.9,71,699636,$100.21M,"A soldier fighting aliens gets to relive the same day over and over again, the day restarting every time he dies."
230,Ghostbusters,1984,105 ,"Action, Comedy, Fantasy",7.8,71,425967,$238.63M,"Three parapsychologists forced out of their university funding set up shop as a unique ghost removal service in New York City, attracting frightened yet skeptical customers."
231,Home Alone,1990,103 ,"Comedy, Family",7.7,63,604652,$285.76M,"An eight-year-old troublemaker, mistakenly left home alone, must defend his home against a pair of burglars on Christmas eve."
232,Atonement,2007,123 ,"Drama, Mystery, Romance",7.8,85,287631,$50.93M,Thirteen-year-old fledgling writer Briony Tallis irrevocably changes the course of several lives when she accuses her older sister's lover of a crime he did not commit.
233,How to Train Your Dragon,2010,98 ,"Animation, Action, Adventure",8.1,75,761844,$217.58M,"A hapless young Viking who aspires to hunt dragons becomes the unlikely friend of a young dragon himself, and learns there may be more to the creatures than he assumed."
234,The Social Network,2010,120 ,"Biography, Drama",7.8,95,723559,$96.96M,"As Harvard student Mark Zuckerberg creates the social networking site that would become known as Facebook, he is sued by the twins who claimed he stole their idea and by the co-founder who was later squeezed out of the business."
235,Captain America: Civil War,2016,147 ,"Action, Sci-Fi",7.8,75,812349,$408.08M,Political involvement in the Avengers' affairs causes a rift between Captain America and Iron Man.
236,Life Is Beautiful,1997,116 ,"Comedy, Drama, Romance",8.6,59,711517,$57.60M,"When an open-minded Jewish waiter and his son become victims of the Holocaust, he uses a perfect mixture of will, humor and imagination to protect his son from the dangers around their camp."
237,Zodiac,2007,157 ,"Crime, Drama, Mystery",7.7,79,562043,$33.08M,"Between 1968 and 1983, a San Francisco cartoonist becomes an amateur detective obsessed with tracking down the Zodiac Killer, an unidentified individual who terrorizes Northern California with a killing spree."
238,3:10 to Yuma,2007,122 ,"Action, Crime, Drama",7.7,76,320493,$53.61M,A small-time rancher agrees to hold a captured outlaw who's awaiting a train to go to court in Yuma. A battle of wills ensues as the outlaw tries to psych out the rancher.
239,Rocky,1976,120 ,"Drama, Sport",8.1,70,598731,$117.24M,A small-time Philadelphia boxer gets a supremely rare chance to fight the world heavyweight champion in a bout in which he strives to go the distance for his self-respect.
240,Into the Wild,2007,148 ,"Adventure, Biography, Drama",8.1,73,635445,$18.35M,"After graduating from Emory University, top student and athlete Christopher McCandless abandons his possessions, gives his entire $24,000 savings account to charity and hitchhikes to Alaska to live in the wilderness. Along the way, Christopher encounters a series of characters that shape his life."
241,Primal Fear,1996,129 ,"Crime, Drama, Mystery",7.7,47,232398,$56.12M,"An altar boy is accused of murdering a priest, and the truth is buried several layers deep."
242,Rio Bravo,1959,141 ,"Drama, Western",8.0,93,65232,$12.54M,"A small-town sheriff in the American West enlists the help of a disabled man, a drunk, and a young gunfighter in his efforts to hold in jail the brother of the local bad guy."
243,Up,2009,96 ,"Animation, Adventure, Comedy",8.3,88,1070269,$293.00M,"78-year-old Carl Fredricksen travels to Paradise Falls in his house equipped with balloons, inadvertently taking a young stowaway."
244,"Monsters, Inc.",2001,92 ,"Animation, Adventure, Comedy",8.1,79,932764,$289.92M,"In order to power the city, monsters have to scare children so that they scream. However, the children are toxic to the monsters, and after a child gets through, two monsters realize things may not be what they think."
245,Predator,1987,107 ,"Action, Adventure, Horror",7.8,47,434715,$59.74M,A team of commandos on a mission in a Central American jungle find themselves hunted by an extraterrestrial warrior.
246,Room,2015,118 ,"Drama, Thriller",8.1,86,432011,$14.68M,"A little boy is held captive in a room with his mother since his birth, so he has never known the world outside."
247,Platoon,1986,120 ,"Drama, War",8.1,92,423467,$138.53M,"Chris Taylor, a neophyte recruit in Vietnam, finds himself caught in a battle of wills between two sergeants, one good and the other evil. A shrewd examination of the brutality of war and the duality of man in conflict."
248,Aladdin,1992,90 ,"Animation, Adventure, Comedy",8.0,86,437371,$217.35M,A kind-hearted street urchin and a power-hungry Grand Vizier vie for a magic lamp that has the power to make their deepest wishes come true.
249,The Sandlot,1993,101 ,"Comedy, Drama, Family",7.8,55,96560,$32.42M,"In the summer of 1962, a new kid in town is taken under the wing of a young baseball prodigy and his rowdy team, resulting in many adventures."
250,My Cousin Vinny,1992,120 ,"Comedy, Crime",7.6,68,132367,$52.93M,"Two New Yorkers accused of murder in rural Alabama while on their way back to college call in the help of one of their cousins, a loudmouth lawyer with no trial experience."
251,Incendies,2010,131 ,"Drama, Mystery",8.3,80,184241,$6.86M,Twins journey to the Middle East to discover their family history and fulfill their mother's last wishes.
252,Tangled,2010,100 ,"Animation, Adventure, Comedy",7.7,71,469644,$200.82M,"The magically long-haired Rapunzel has spent her entire life in a tower, but now that a runaway thief has stumbled upon her, she is about to discover the world for the first time, and who she really is."
253,Nightcrawler,2014,117 ,"Crime, Drama, Thriller",7.8,76,570086,$32.38M,"When Louis Bloom, a con man desperate for work, muscles into the world of L.A. crime journalism, he blurs the line between observer and participant to become the star of his own story."
254,Willy Wonka & the Chocolate Factory,1971,100 ,"Family, Fantasy, Musical",7.8,67,209461,$4.00M,A poor but hopeful boy seeks one of the five coveted golden tickets that will send him on a tour of Willy Wonka's mysterious chocolate factory.
255,Scent of a Woman,1992,156 ,Drama,8.0,59,310231,$63.90M,"A prep school student needing money agrees to ""babysit"" a blind man, but the job is not at all what he anticipated."
256,Fargo,1996,98 ,"Crime, Thriller",8.1,86,693066,$24.61M,Minnesota car salesman Jerry Lundegaard's inept crime falls apart due to his and his henchmen's bungling and the persistent police work of the quite pregnant Marge Gunderson.
257,The Game,1997,129 ,"Drama, Mystery, Thriller",7.7,63,409517,$48.32M,"After a wealthy San Francisco banker is given an opportunity to participate in a mysterious game, his life is turned upside down as he begins to question if it might really be a concealed conspiracy to destroy him."
258,The Revenant,2015,156 ,"Action, Adventure, Drama",8.0,76,828316,$183.64M,A frontiersman on a fur trading expedition in the 1820s fights for survival after being mauled by a bear and left for dead by members of his own hunting team.
259,American Gangster,2007,157 ,"Biography, Crime, Drama",7.8,76,436946,$130.16M,"An outcast New York City cop is charged with bringing down Harlem drug lord Frank Lucas, whose real life inspired this partly biographical film."
260,Spotlight,2015,129 ,"Biography, Crime, Drama",8.1,93,482447,$45.06M,"The true story of how the Boston Globe uncovered the massive scandal of child molestation and cover-up within the local Catholic Archdiocese, shaking the entire Catholic Church to its core."
261,E.T. the Extra-Terrestrial,1982,115 ,"Adventure, Family, Sci-Fi",7.9,91,421037,$435.11M,A troubled child summons the courage to help a friendly alien escape from Earth and return to his home planet.
262,Blue Velvet,1986,120 ,"Crime, Drama, Mystery",7.7,76,206310,$8.55M,"The discovery of a severed human ear found in a field leads a young man on an investigation related to a beautiful, mysterious nightclub singer and a group of psychopathic criminals who have kidnapped her child."
263,The Imitation Game,2014,114 ,"Biography, Drama, Thriller",8.0,71,789383,$91.13M,"During World War II, the English mathematical genius Alan Turing tries to crack the German Enigma code with help from fellow mathematicians while attempting to come to terms with his troubled private life."
264,Beauty and the Beast,1991,84 ,"Animation, Family, Fantasy",8.0,95,464796,$218.97M,A prince cursed to spend his days as a hideous monster sets out to regain his humanity by earning a young woman's love.
265,WALL·E,2008,98 ,"Animation, Adventure, Family",8.4,95,1143659,$223.81M,"In the distant future, a small waste-collecting robot inadvertently embarks on a space journey that will ultimately decide the fate of mankind."
266,Skyfall,2012,143 ,"Action, Adventure, Thriller",7.8,81,710070,$304.36M,"James Bond's loyalty to M is tested when her past comes back to haunt her. When MI6 comes under attack, 007 must track down and destroy the threat, no matter how personal the cost."
267,Blazing Saddles,1974,93 ,"Comedy, Western",7.7,73,144823,$119.50M,"In order to ruin a western town, a corrupt politician appoints a black Sheriff, who promptly becomes his most formidable adversary."
268,Saw,2004,103 ,"Horror, Mystery, Thriller",7.6,46,435527,$56.00M,"Two strangers awaken in a room with no recollection of how they got there, and soon discover they're pawns in a deadly game perpetrated by a notorious serial killer."
269,A Few Good Men,1992,138 ,"Drama, Thriller",7.7,62,273435,$141.34M,Military lawyer Lieutenant Daniel Kaffee defends Marines accused of murder. They contend they were acting under orders.
270,The Bourne Identity,2002,119 ,"Action, Mystery, Thriller",7.9,68,559026,$121.66M,"A man is picked up by a fishing boat, bullet-riddled and suffering from amnesia, before racing to elude assassins and attempting to regain his memory."
271,Coraline,2009,100 ,"Animation, Drama, Family",7.7,80,243127,$75.29M,"An adventurous 11-year-old girl finds another world that is a strangely idealized version of her frustrating home, but it has sinister secrets."
272,The Searchers,1956,119 ,"Adventure, Drama, Western",7.9,94,92722,,An American Civil War veteran embarks on a years-long journey to rescue his niece from the Comanches after the rest of his brother's family is massacred in a raid on their Texas farm.
273,Once Upon a Time in the West,1968,165 ,Western,8.5,82,337324,$5.32M,A mysterious stranger with a harmonica joins forces with a notorious desperado to protect a beautiful widow from a ruthless assassin working for the railroad.
274,The Sound of Music,1965,172 ,"Biography, Drama, Family",8.1,63,244753,$163.21M,A young novice is sent by her convent in 1930s Austria to become a governess to the seven children of a widowed naval officer.
275,Rush,2013,123 ,"Action, Biography, Drama",8.1,74,491388,$26.95M,The merciless 1970s rivalry between Formula One rivals James Hunt and Niki Lauda.
276,Little Miss Sunshine,2006,101 ,"Comedy, Drama",7.8,80,495734,$59.89M,A family determined to get their young daughter into the finals of a beauty pageant take a cross-country trip in their VW bus.
277,Life of Brian,1979,94 ,Comedy,8.0,77,409072,$20.05M,"Born on the original Christmas in the stable next door to Jesus Christ, Brian of Nazareth spends his life being mistaken for a messiah."
278,True Grit,2010,110 ,"Drama, Western",7.6,80,347218,$171.24M,A stubborn teenager enlists the help of a tough U.S. Marshal to track down her father's murderer.
279,Silver Linings Playbook,2012,122 ,"Comedy, Drama, Romance",7.7,81,721776,$132.09M,"After a stint in a mental institution, former teacher Pat Solitano moves back in with his parents and tries to reconcile with his ex-wife. Things get more challenging when Pat meets Tiffany, a mysterious girl with problems of her own."
280,Manchester by the Sea,2016,137 ,Drama,7.8,96,293892,$47.70M,A depressed uncle is asked to take care of his teenage nephew after the boy's father dies.
281,Gran Torino,2008,116 ,Drama,8.1,72,789932,$148.10M,"After a Hmong teenager tries to steal his prized 1972 Gran Torino, a disgruntled, prejudiced Korean War veteran seeks to redeem both the boy and himself."
282,The Butterfly Effect,2004,113 ,"Drama, Sci-Fi, Thriller",7.6,30,502060,$57.94M,"Evan Treborn suffers blackouts during significant events of his life. As he grows up, he finds a way to remember these lost memories and a supernatural way to alter his life by reading his journal."
283,The Lego Movie,2014,100 ,"Animation, Action, Adventure",7.7,83,369650,$257.76M,"An ordinary LEGO construction worker, thought to be the prophesied as ""special"", is recruited to join a quest to stop an evil tyrant from gluing the LEGO universe into eternal stasis."
284,In Bruges,2008,107 ,"Comedy, Crime, Drama",7.9,67,445691,$7.76M,"Guilt-stricken after a job gone wrong, hitman Ray and his partner await orders from their ruthless boss in Bruges, Belgium, the last place in the world Ray wants to be."
285,Toy Story 4,2019,100 ,"Animation, Adventure, Comedy",7.7,84,262337,$434.04M,"When a new toy called ""Forky"" joins Woody and the gang, a road trip alongside old and new friends reveals how big the world can be for a toy."
286,500 Days of Summer,2009,95 ,"Comedy, Drama, Romance",7.7,76,531004,$32.39M,"After being dumped by the girl he believes to be his soulmate, hopeless romantic Tom Hansen reflects on their relationship to try and figure out where things went wrong and how he can win her back."
287,Hot Fuzz,2007,121 ,"Action, Comedy, Mystery",7.8,81,517379,$23.64M,"A skilled London police officer, after irritating superiors with his embarrassing effectiveness, is transferred to a village where the easygoing officers object to his fervor for regulations, as a string of grisly murders strikes the town."
288,Star Trek Into Darkness,2013,132 ,"Action, Adventure, Sci-Fi",7.7,72,489469,$228.78M,"After the crew of the Enterprise find an unstoppable force of terror from within their own organization, Captain Kirk leads a manhunt to a war-zone world to capture a one-man weapon of mass destruction."
289,The Royal Tenenbaums,2001,110 ,"Comedy, Drama",7.6,76,301367,$52.36M,The eccentric members of a dysfunctional family reluctantly gather under the same roof for various reasons.
290,"Lock, Stock and Two Smoking Barrels",1998,107 ,"Action, Comedy, Crime",8.1,66,595528,$3.90M,"Eddy persuades his three pals to pool money for a vital poker game against a powerful local mobster, Hatchet Harry. Eddy loses, after which Harry gives him a week to pay back 500,000 pounds."
291,Brokeback Mountain,2005,134 ,"Drama, Romance",7.7,87,367788,$83.04M,Ennis and Jack are two shepherds who develop a sexual and emotional relationship. Their relationship becomes complicated when both of them get married to their respective girlfriends.
292,Wonder,2017,113 ,"Drama, Family",7.9,66,170594,$132.42M,"Based on the New York Times bestseller, this movie tells the incredibly inspiring and heartwarming story of August Pullman, a boy with facial differences who enters the fifth grade, attending a mainstream elementary school for the first time."
293,RoboCop,1987,102 ,"Action, Crime, Sci-Fi",7.6,70,267672,$53.42M,"In a dystopic and crime-ridden Detroit, a terminally wounded cop returns to the force as a powerful cyborg haunted by submerged memories."
294,Toy Story 3,2010,103 ,"Animation, Adventure, Comedy",8.3,92,855629,$415.00M,"The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college, and it's up to Woody to convince the other toys that they weren't abandoned and to return home."
295,V for Vendetta,2005,132 ,"Action, Drama, Sci-Fi",8.2,62,1141270,$70.51M,"In a future British dystopian society, a shadowy freedom fighter, known only by the alias of ""V"", plots to overthrow the tyrannical government - with the help of a young woman."
296,L.A. Confidential,1997,138 ,"Crime, Drama, Mystery",8.2,91,593411,$64.62M,"As corruption grows in 1950s Los Angeles, three policemen - one strait-laced, one brutal, and one sleazy - investigate a series of murders with their own brand of justice."
297,Downfall,2004,156 ,"Biography, Drama, History",8.2,82,362529,$5.51M,"Traudl Junge, the final secretary for Adolf Hitler, tells of the Nazi dictator's final days in his Berlin bunker at the end of WWII."
298,The Girl with the Dragon Tattoo,2011,158 ,"Crime, Drama, Mystery",7.8,71,474560,$102.52M,Journalist Mikael Blomkvist is aided in his search for a woman who has been missing for 40 years by young computer hacker Lisbeth Salander.
299,Chinatown,1974,130 ,"Drama, Mystery, Thriller",8.2,92,334892,$8.49M,"A private detective hired to expose an adulterer in 1930s Los Angeles finds himself caught up in a web of deceit, corruption, and murder."
300,X-Men: Days of Future Past,2014,132 ,"Action, Adventure, Sci-Fi",7.9,75,725324,$233.92M,The X-Men send Wolverine to the past in a desperate effort to change history and prevent an event that results in doom for both humans and mutants.
301,The Last of the Mohicans,1992,112 ,"Action, Adventure, Drama",7.7,76,177700,$75.51M,Three trappers protect the daughters of a British Colonel in the midst of the French and Indian War.
302,The Deer Hunter,1978,183 ,"Drama, War",8.1,86,346880,$48.98M,An in-depth examination of the ways in which the Vietnam War impacts and disrupts the lives of several friends in a small steel mill town in Pennsylvania.
303,Mystic River,2003,138 ,"Crime, Drama, Mystery",7.9,84,467896,$90.14M,The lives of three men who were childhood friends are shattered when one of them has a family tragedy.
304,Amadeus,1984,160 ,"Biography, Drama, Music",8.4,88,409917,$51.97M,"The life, success and troubles of Wolfgang Amadeus Mozart, as told by Antonio Salieri, the contemporaneous composer who was deeply jealous of Mozart's talent and claimed to have murdered him."
305,Lost in Translation,2003,102 ,"Comedy, Drama",7.7,91,467494,$44.59M,A faded movie star and a neglected young woman form an unlikely bond after crossing paths in Tokyo.
306,The Blind Side,2009,129 ,"Biography, Drama, Sport",7.6,53,344701,$255.96M,"The story of Michael Oher, a homeless and traumatized boy who became an All-American football player and first-round NFL draft pick with the help of a caring woman and her family."
307,Training Day,2001,122 ,"Action, Crime, Drama",7.7,69,450525,$76.63M,A rookie cop spends his first day as a Los Angeles narcotics officer with a rogue detective who isn't what he appears to be.
308,A Bronx Tale,1993,121 ,"Crime, Drama",7.8,80,148894,$17.27M,A father becomes worried when a local gangster befriends his son in the Bronx in the 1960s.
309,A Star Is Born,2018,136 ,"Drama, Music, Romance",7.6,88,397903,$215.29M,A musician helps a young singer find fame as age and alcoholism send his own career into a downward spiral.
310,Gone with the Wind,1939,238 ,"Drama, Romance, War",8.2,97,322560,$198.68M,A sheltered and manipulative Southern belle and a roguish profiteer face off in a turbulent romance as the society around them crumbles with the end of slavery and is rebuilt during the Civil War and Reconstruction periods.
311,Stardust,2007,127 ,"Adventure, Family, Fantasy",7.6,66,277499,$38.63M,"In a countryside town bordering on a magical land, a young man makes a promise to his beloved that he'll retrieve a fallen star by venturing into the magical realm."
312,Mr. Nobody,2009,141 ,"Drama, Fantasy, Romance",7.7,63,239066,$0.00M,"A boy stands on a station platform as a train is about to leave. Should he go with his mother or stay with his father? Infinite possibilities arise from this decision. As long as he doesn't choose, anything is possible."
313,Remember the Titans,2000,113 ,"Biography, Drama, Sport",7.8,48,222501,$115.65M,The true story of a newly appointed African-American coach and his high school team on their first season as a racially integrated unit.
314,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,95 ,"Comedy, War",8.4,97,500642,$0.28M,"An insane American general orders a bombing attack on the Soviet Union, triggering a path to nuclear holocaust that a war room full of politicians and generals frantically tries to stop."
315,Mulan,1998,87 ,"Animation, Adventure, Comedy",7.6,71,299480,$120.62M,"To save her father from death in the army, a young maiden secretly goes in his place and becomes one of China's greatest heroines in the process."
316,Another Round,2020,117 ,Drama,7.7,79,174393,,Four high-school teachers consume alcohol on a daily basis to see how it affects their social and professional lives.
317,Before Sunrise,1995,101 ,"Drama, Romance",8.1,77,320651,$5.54M,"A young man and woman meet on a train in Europe, and wind up spending one evening together in Vienna. Unfortunately, both know that this will probably be their only night together."
318,Man on Fire,2004,146 ,"Action, Crime, Drama",7.7,47,372203,$77.91M,"In Mexico City, a former CIA operative swears vengeance on those who committed an unspeakable act against the family he was hired to protect."
319,Akira,1988,124 ,"Animation, Action, Drama",8.0,67,193806,$0.55M,"A secret military project endangers Neo-Tokyo when it turns a biker gang member into a rampaging psychic psychopath who can only be stopped by a teenager, his gang of biker friends and a group of psychics."
320,Argo,2012,120 ,"Biography, Drama, Thriller",7.7,86,625113,$136.03M,"Acting under the cover of a Hollywood producer scouting a location for a science fiction film, a CIA agent launches a dangerous operation to rescue six Americans in Tehran during the U.S. hostage crisis in Iran in 1979."
321,Taken,2008,90 ,"Action, Crime, Thriller",7.8,51,614991,$145.00M,"A retired CIA agent travels across Europe and relies on his old skills to save his estranged daughter, who has been kidnapped while on a trip to Paris."
322,Kung Fu Panda,2008,92 ,"Animation, Action, Adventure",7.6,74,489099,$215.43M,"To everyone's surprise, including his own, Po, an overweight, clumsy panda, is chosen as protector of the Valley of Peace. His suitability will soon be tested as the valley's arch-enemy is on his way."
323,Children of Men,2006,109 ,"Action, Drama, Sci-Fi",7.9,84,511857,$35.55M,"In 2027, in a chaotic world in which women have somehow become infertile, a former activist agrees to help transport a miraculously pregnant woman to a sanctuary at sea."
324,The Machinist,2004,101 ,"Drama, Thriller",7.7,61,401220,$1.08M,An industrial worker who hasn't slept in a year begins to doubt his own sanity.
325,The Great Escape,1963,172 ,"Adventure, Drama, History",8.2,86,249618,$12.10M,Allied prisoners of war plan for several hundred of their number to escape from a German camp during World War II.
326,And Your Mother Too,2001,106 ,Drama,7.7,89,125738,$13.62M,"In Mexico, two teenage boys and an attractive older woman embark on a road trip and learn a thing or two about life, friendship, sex, and each other."
327,The Untouchables,1987,119 ,"Crime, Drama, Thriller",7.8,79,318869,$76.27M,"During Prohibition, Treasury agent Eliot Ness sets out to stop ruthless Chicago gangster Al Capone, and assembles a small, incorruptible team to help him."
328,Planet of the Apes,1968,112 ,"Adventure, Sci-Fi",8.0,79,185385,$33.40M,An astronaut crew crash-lands on a planet where highly intelligent non-human ape species are dominant and humans are enslaved.
329,Captain America: The Winter Soldier,2014,136 ,"Action, Adventure, Sci-Fi",7.8,70,867225,$259.77M,"As Steve Rogers struggles to embrace his role in the modern world, he teams up with a fellow Avenger and S.H.I.E.L.D agent, Black Widow, to battle a new threat from history: an assassin known as the Winter Soldier."
330,Memories of Murder,2003,132 ,"Crime, Drama, Mystery",8.1,82,196057,$0.01M,"In a small Korean province in 1986, two detectives struggle with the case of multiple young women being found raped and murdered by an unknown culprit."
331,Evil Dead II,1987,84 ,"Comedy, Horror",7.7,72,173454,$5.92M,The lone survivor of an onslaught of flesh-possessing spirits holes up in a cabin with a group of strangers while the demons continue their attack.
332,What's Eating Gilbert Grape,1993,118 ,Drama,7.7,73,244295,$9.17M,A young man in a small Midwestern town struggles to care for his mentally-disabled younger brother and morbidly obese mother while attempting to pursue his own happiness.
