,Movie Name,Year of Release,Runtime,Genre,Movie Rating,Metascore of Movie,Votes,Gross,Description
29,American Psycho,2000,102 ,"Crime, Drama, Horror",7.6,64,656933,$15.07M,"A wealthy New York City investment banking executive, Patrick Bateman, hides his alternate psychopathic ego from his co-workers and friends as he delves deeper into his violent, hedonistic fantasies."
30,Jurassic Park,1993,127 ,"Action, Adventure, Sci-Fi",8.2,68,1014533,$402.45M,A pragmatic paleontologist touring an almost complete theme park on an island in Central America is tasked with protecting a couple of kids after a power failure causes the park's cloned dinosaurs to run loose.
31,Blade Runner 2049,2017,164 ,"Action, Drama, Mystery",8.0,81,604498,$92.05M,"Young Blade Runner K's discovery of a long-buried secret leads him to track down former Blade Runner Rick Deckard, who's been missing for thirty years."
32,Parasite,2019,132 ,"Drama, Thriller",8.5,96,855968,$53.37M,Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan.
33,The Lord of the Rings: The Fellowship of the Ring,2001,178 ,"Action, Adventure, Drama",8.8,92,1916863,$315.54M,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.
34,The Green Mile,1999,189 ,"Crime, Drama, Fantasy",8.6,61,1336018,$136.80M,"A tale set on death row in a Southern jail, where gentle giant John possesses the mysterious power to heal people's ailments. When the lead guard, Paul, recognizes John's gift, he tries to help stave off the condemned man's execution."
35,Fight Club,1999,139 ,Drama,8.8,66,2187936,$37.03M,An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more.
36,The Banshees of Inisherin,2022,114 ,"Comedy, Drama",7.7,87,210190,,"Two lifelong friends find themselves at an impasse when one abruptly ends their relationship, with alarming consequences for both of them."
37,Mad Max: Fury Road,2015,120 ,"Action, Adventure, Sci-Fi",8.1,90,1030852,$154.06M,"In a post-apocalyptic wasteland, a woman rebels against a tyrannical ruler in search for her homeland with the aid of a group of female prisoners, a psychotic worshiper and a drifter named Max."
38,The Departed,2006,151 ,"Crime, Drama, Thriller",8.5,85,1357130,$132.38M,An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.
39,Saving Private Ryan,1998,169 ,"Drama, War",8.6,91,1424268,$216.54M,"Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action."
40,Whiplash,2014,106 ,"Drama, Music",8.5,89,905565,$13.09M,A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential.
41,Inglourious Basterds,2009,153 ,"Adventure, Drama, War",8.3,69,1492999,$120.54M,"In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same."
42,Aftersun,2022,102 ,Drama,7.7,95,63760,,Sophie reflects on the shared joy and private melancholy of a holiday she took with her father twenty years earlier. Memories real and imagined fill the gaps between as she tries to reconcile the father she knew with the man she didn't...
43,The Breakfast Club,1985,97 ,"Comedy, Drama",7.8,66,414332,$45.88M,Five high school students meet in Saturday detention and discover how they have a great deal more in common than they thought.
44,Tombstone,1993,130 ,"Biography, Drama, History",7.8,50,156094,$56.51M,"A successful lawman's plans to retire anonymously in Tombstone, Arizona are disrupted by the kind of outlaws he was famous for eliminating."
45,Forrest Gump,1994,142 ,"Drama, Romance",8.8,82,2137630,$330.25M,"The presidencies of Kennedy and Johnson, the Vietnam War, the Watergate scandal and other historical events unfold from the perspective of an Alabama man with an IQ of 75, whose only desire is to be reunited with his childhood sweetheart."
46,Back to the Future,1985,116 ,"Adventure, Comedy, Sci-Fi",8.5,87,1239675,$210.61M,"Marty McFly, a 17-year-old high school student, is accidentally sent 30 years into the past in a time-traveling DeLorean invented by his close friend, the maverick scientist Doc Brown."
47,The Gentlemen,2019,113 ,"Action, Comedy, Crime",7.8,51,360990,$36.47M,"An American expat tries to sell off his highly profitable marijuana empire in London, triggering plots, schemes, bribery and blackmail in an attempt to steal his domain out from under him."
48,Good Will Hunting,1997,126 ,"Drama, Romance",8.3,70,1004559,$138.43M,"Will Hunting, a janitor at M.I.T., has a gift for mathematics, but needs help from a psychologist to find direction in his life."
49,Kingsman: The Secret Service,2014,129 ,"Action, Adventure, Comedy",7.7,60,687026,$128.26M,"A spy organisation recruits a promising street kid into the agency's training program, while a global threat emerges from a twisted tech genius."
50,Indiana Jones and the Last Crusade,1989,127 ,"Action, Adventure",8.2,65,771734,$197.17M,"In 1938, after his father goes missing while pursuing the Holy Grail, Indiana Jones finds himself up against the Nazis again to stop them from obtaining its powers."
